
========================================
E08 - BACKTEST DE RERANKING
========================================
Loteria: PT_RIO
Limite: 0
Historico minimo: 100

[SNAPSHOT] Carregando hist├│rico compartilhado...
[SNAPSHOT] Sorteios congelados: 7506

[1/2] Executando V3...
[BACKTEST] 25/7406 | avaliados=25 | erros=0
[BACKTEST] 975/7406 | avaliados=975 | erros=0
[BACKTEST] 1000/7406 | avaliados=1000 | erros=0
[BACKTEST] 1025/7406 | avaliados=1025 | erros=0
[BACKTEST] 1050/7406 | avaliados=1050 | erros=0
[BACKTEST] 1075/7406 | avaliados=1075 | erros=0
[BACKTEST] 1100/7406 | avaliados=1100 | erros=0
[BACKTEST] 1125/7406 | avaliados=1125 | erros=0
[BACKTEST] 1150/7406 | avaliados=1150 | erros=0
[BACKTEST] 1175/7406 | avaliados=1175 | erros=0
[BACKTEST] 1200/7406 | avaliados=1200 | erros=0
[BACKTEST] 1225/7406 | avaliados=1225 | erros=0
[BACKTEST] 1250/7406 | avaliados=1250 | erros=0
[BACKTEST] 1275/7406 | avaliados=1275 | erros=0
[BACKTEST] 1300/7406 | avaliados=1300 | erros=0
[BACKTEST] 1325/7406 | avaliados=1325 | erros=0
[BACKTEST] 1350/7406 | avaliados=1350 | erros=0
[BACKTEST] 1375/7406 | avaliados=1375 | erros=0
[BACKTEST] 1400/7406 | avaliados=1400 | erros=0
[BACKTEST] 1425/7406 | avaliados=1425 | erros=0
[BACKTEST] 1450/7406 | avaliados=1450 | erros=0
[BACKTEST] 1475/7406 | avaliados=1475 | erros=0
[BACKTEST] 1500/7406 | avaliados=1500 | erros=0
[BACKTEST] 1525/7406 | avaliados=1525 | erros=0
[BACKTEST] 1550/7406 | avaliados=1550 | erros=0
[BACKTEST] 1575/7406 | avaliados=1575 | erros=0
[BACKTEST] 1600/7406 | avaliados=1600 | erros=0
[BACKTEST] 1625/7406 | avaliados=1625 | erros=0
[BACKTEST] 1650/7406 | avaliados=1650 | erros=0
[BACKTEST] 1675/7406 | avaliados=1675 | erros=0
[BACKTEST] 1700/7406 | avaliados=1700 | erros=0
[BACKTEST] 1725/7406 | avaliados=1725 | erros=0
[BACKTEST] 1750/7406 | avaliados=1750 | erros=0
[BACKTEST] 1775/7406 | avaliados=1775 | erros=0
[BACKTEST] 1800/7406 | avaliados=1800 | erros=0
[BACKTEST] 1825/7406 | avaliados=1825 | erros=0
[BACKTEST] 1850/7406 | avaliados=1850 | erros=0
[BACKTEST] 1875/7406 | avaliados=1875 | erros=0
[BACKTEST] 1900/7406 | avaliados=1900 | erros=0
[BACKTEST] 1925/7406 | avaliados=1925 | erros=0
[BACKTEST] 1950/7406 | avaliados=1950 | erros=0
[BACKTEST] 1975/7406 | avaliados=1975 | erros=0
[BACKTEST] 2000/7406 | avaliados=2000 | erros=0
[BACKTEST] 2025/7406 | avaliados=2025 | erros=0
[BACKTEST] 2050/7406 | avaliados=2050 | erros=0
[BACKTEST] 2075/7406 | avaliados=2075 | erros=0
[BACKTEST] 2100/7406 | avaliados=2100 | erros=0
[BACKTEST] 2125/7406 | avaliados=2125 | erros=0
[BACKTEST] 2150/7406 | avaliados=2150 | erros=0
[BACKTEST] 2175/7406 | avaliados=2175 | erros=0
[BACKTEST] 2200/7406 | avaliados=2200 | erros=0
[BACKTEST] 2225/7406 | avaliados=2225 | erros=0
[BACKTEST] 2250/7406 | avaliados=2250 | erros=0
[BACKTEST] 2275/7406 | avaliados=2275 | erros=0
[BACKTEST] 2300/7406 | avaliados=2300 | erros=0
[BACKTEST] 2325/7406 | avaliados=2325 | erros=0
[BACKTEST] 2350/7406 | avaliados=2350 | erros=0
[BACKTEST] 2375/7406 | avaliados=2375 | erros=0
[BACKTEST] 2400/7406 | avaliados=2400 | erros=0
[BACKTEST] 2425/7406 | avaliados=2425 | erros=0
[BACKTEST] 2450/7406 | avaliados=2450 | erros=0
[BACKTEST] 2475/7406 | avaliados=2475 | erros=0
[BACKTEST] 2500/7406 | avaliados=2500 | erros=0
[BACKTEST] 2525/7406 | avaliados=2525 | erros=0
[BACKTEST] 2550/7406 | avaliados=2550 | erros=0
[BACKTEST] 2575/7406 | avaliados=2575 | erros=0
[BACKTEST] 2600/7406 | avaliados=2600 | erros=0
[BACKTEST] 2625/7406 | avaliados=2625 | erros=0
[BACKTEST] 2650/7406 | avaliados=2650 | erros=0
[BACKTEST] 2675/7406 | avaliados=2675 | erros=0
[BACKTEST] 2700/7406 | avaliados=2700 | erros=0
[BACKTEST] 2725/7406 | avaliados=2725 | erros=0
[BACKTEST] 2750/7406 | avaliados=2750 | erros=0
[BACKTEST] 2775/7406 | avaliados=2775 | erros=0
[BACKTEST] 2800/7406 | avaliados=2800 | erros=0
[BACKTEST] 2825/7406 | avaliados=2825 | erros=0
[BACKTEST] 2850/7406 | avaliados=2850 | erros=0
[BACKTEST] 2875/7406 | avaliados=2875 | erros=0
[BACKTEST] 2900/7406 | avaliados=2900 | erros=0
[BACKTEST] 2925/7406 | avaliados=2925 | erros=0
[BACKTEST] 2950/7406 | avaliados=2950 | erros=0
[BACKTEST] 2975/7406 | avaliados=2975 | erros=0
[BACKTEST] 3000/7406 | avaliados=3000 | erros=0
[BACKTEST] 3025/7406 | avaliados=3025 | erros=0
[BACKTEST] 3050/7406 | avaliados=3050 | erros=0
[BACKTEST] 3075/7406 | avaliados=3075 | erros=0
[BACKTEST] 3100/7406 | avaliados=3100 | erros=0
[BACKTEST] 3125/7406 | avaliados=3125 | erros=0
[BACKTEST] 3150/7406 | avaliados=3150 | erros=0
[BACKTEST] 3175/7406 | avaliados=3175 | erros=0
[BACKTEST] 3200/7406 | avaliados=3200 | erros=0
[BACKTEST] 3225/7406 | avaliados=3225 | erros=0
[BACKTEST] 3250/7406 | avaliados=3250 | erros=0
[BACKTEST] 3275/7406 | avaliados=3275 | erros=0
[BACKTEST] 3300/7406 | avaliados=3300 | erros=0
[BACKTEST] 3325/7406 | avaliados=3325 | erros=0
[BACKTEST] 3350/7406 | avaliados=3350 | erros=0
[BACKTEST] 3375/7406 | avaliados=3375 | erros=0
[BACKTEST] 3400/7406 | avaliados=3400 | erros=0
[BACKTEST] 3425/7406 | avaliados=3425 | erros=0
[BACKTEST] 3450/7406 | avaliados=3450 | erros=0
[BACKTEST] 3475/7406 | avaliados=3475 | erros=0
[BACKTEST] 3500/7406 | avaliados=3500 | erros=0
[BACKTEST] 3525/7406 | avaliados=3525 | erros=0
[BACKTEST] 3550/7406 | avaliados=3550 | erros=0
[BACKTEST] 3575/7406 | avaliados=3575 | erros=0
[BACKTEST] 3600/7406 | avaliados=3600 | erros=0
[BACKTEST] 3625/7406 | avaliados=3625 | erros=0
[BACKTEST] 3650/7406 | avaliados=3650 | erros=0
[BACKTEST] 3675/7406 | avaliados=3675 | erros=0
[BACKTEST] 3700/7406 | avaliados=3700 | erros=0
[BACKTEST] 3725/7406 | avaliados=3725 | erros=0
[BACKTEST] 3750/7406 | avaliados=3750 | erros=0
[BACKTEST] 3775/7406 | avaliados=3775 | erros=0
[BACKTEST] 3800/7406 | avaliados=3800 | erros=0
[BACKTEST] 3825/7406 | avaliados=3825 | erros=0
[BACKTEST] 3850/7406 | avaliados=3850 | erros=0
[BACKTEST] 3875/7406 | avaliados=3875 | erros=0
[BACKTEST] 3900/7406 | avaliados=3900 | erros=0
[BACKTEST] 3925/7406 | avaliados=3925 | erros=0
[BACKTEST] 3950/7406 | avaliados=3950 | erros=0
[BACKTEST] 3975/7406 | avaliados=3975 | erros=0
[BACKTEST] 4000/7406 | avaliados=4000 | erros=0
[BACKTEST] 4025/7406 | avaliados=4025 | erros=0
[BACKTEST] 4050/7406 | avaliados=4050 | erros=0
[BACKTEST] 4075/7406 | avaliados=4075 | erros=0
[BACKTEST] 4100/7406 | avaliados=4100 | erros=0
[BACKTEST] 4125/7406 | avaliados=4125 | erros=0
[BACKTEST] 4150/7406 | avaliados=4150 | erros=0
[BACKTEST] 4175/7406 | avaliados=4175 | erros=0
[BACKTEST] 4200/7406 | avaliados=4200 | erros=0
[BACKTEST] 4225/7406 | avaliados=4225 | erros=0
[BACKTEST] 4250/7406 | avaliados=4250 | erros=0
[BACKTEST] 4275/7406 | avaliados=4275 | erros=0
[BACKTEST] 4300/7406 | avaliados=4300 | erros=0
[BACKTEST] 4325/7406 | avaliados=4325 | erros=0
[BACKTEST] 4350/7406 | avaliados=4350 | erros=0
[BACKTEST] 4375/7406 | avaliados=4375 | erros=0
[BACKTEST] 4400/7406 | avaliados=4400 | erros=0
[BACKTEST] 4425/7406 | avaliados=4425 | erros=0
[BACKTEST] 4450/7406 | avaliados=4450 | erros=0
[BACKTEST] 4475/7406 | avaliados=4475 | erros=0
[BACKTEST] 4500/7406 | avaliados=4500 | erros=0
[BACKTEST] 4525/7406 | avaliados=4525 | erros=0
[BACKTEST] 4550/7406 | avaliados=4550 | erros=0
[BACKTEST] 4575/7406 | avaliados=4575 | erros=0
[BACKTEST] 4600/7406 | avaliados=4600 | erros=0
[BACKTEST] 4625/7406 | avaliados=4625 | erros=0
[BACKTEST] 4650/7406 | avaliados=4650 | erros=0
[BACKTEST] 4675/7406 | avaliados=4675 | erros=0
[BACKTEST] 4700/7406 | avaliados=4700 | erros=0
[BACKTEST] 4725/7406 | avaliados=4725 | erros=0
[BACKTEST] 4750/7406 | avaliados=4750 | erros=0
[BACKTEST] 4775/7406 | avaliados=4775 | erros=0
[BACKTEST] 4800/7406 | avaliados=4800 | erros=0
[BACKTEST] 4825/7406 | avaliados=4825 | erros=0
[BACKTEST] 4850/7406 | avaliados=4850 | erros=0
[BACKTEST] 4875/7406 | avaliados=4875 | erros=0
[BACKTEST] 4900/7406 | avaliados=4900 | erros=0
[BACKTEST] 4925/7406 | avaliados=4925 | erros=0
[BACKTEST] 4950/7406 | avaliados=4950 | erros=0
[BACKTEST] 4975/7406 | avaliados=4975 | erros=0
[BACKTEST] 5000/7406 | avaliados=5000 | erros=0
[BACKTEST] 5025/7406 | avaliados=5025 | erros=0
[BACKTEST] 5050/7406 | avaliados=5050 | erros=0
[BACKTEST] 5075/7406 | avaliados=5075 | erros=0
[BACKTEST] 5100/7406 | avaliados=5100 | erros=0
[BACKTEST] 5125/7406 | avaliados=5125 | erros=0
[BACKTEST] 5150/7406 | avaliados=5150 | erros=0
[BACKTEST] 5175/7406 | avaliados=5175 | erros=0
[BACKTEST] 5200/7406 | avaliados=5200 | erros=0
[BACKTEST] 5225/7406 | avaliados=5225 | erros=0
[BACKTEST] 5250/7406 | avaliados=5250 | erros=0
[BACKTEST] 5275/7406 | avaliados=5275 | erros=0
[BACKTEST] 5300/7406 | avaliados=5300 | erros=0
[BACKTEST] 5325/7406 | avaliados=5325 | erros=0
[BACKTEST] 5350/7406 | avaliados=5350 | erros=0
[BACKTEST] 5375/7406 | avaliados=5375 | erros=0
[BACKTEST] 5400/7406 | avaliados=5400 | erros=0
[BACKTEST] 5425/7406 | avaliados=5425 | erros=0
[BACKTEST] 5450/7406 | avaliados=5450 | erros=0
[BACKTEST] 5475/7406 | avaliados=5475 | erros=0
[BACKTEST] 5500/7406 | avaliados=5500 | erros=0
[BACKTEST] 5525/7406 | avaliados=5525 | erros=0
[BACKTEST] 5550/7406 | avaliados=5550 | erros=0
[BACKTEST] 5575/7406 | avaliados=5575 | erros=0
[BACKTEST] 5600/7406 | avaliados=5600 | erros=0
[BACKTEST] 5625/7406 | avaliados=5625 | erros=0
[BACKTEST] 5650/7406 | avaliados=5650 | erros=0
[BACKTEST] 5675/7406 | avaliados=5675 | erros=0
[BACKTEST] 5700/7406 | avaliados=5700 | erros=0
[BACKTEST] 5725/7406 | avaliados=5725 | erros=0
[BACKTEST] 5750/7406 | avaliados=5750 | erros=0
[BACKTEST] 5775/7406 | avaliados=5775 | erros=0
[BACKTEST] 5800/7406 | avaliados=5800 | erros=0
[BACKTEST] 5825/7406 | avaliados=5825 | erros=0
[BACKTEST] 5850/7406 | avaliados=5850 | erros=0
[BACKTEST] 5875/7406 | avaliados=5875 | erros=0
[BACKTEST] 5900/7406 | avaliados=5900 | erros=0
[BACKTEST] 5925/7406 | avaliados=5925 | erros=0
[BACKTEST] 5950/7406 | avaliados=5950 | erros=0
[BACKTEST] 5975/7406 | avaliados=5975 | erros=0
[BACKTEST] 6000/7406 | avaliados=6000 | erros=0
[BACKTEST] 6025/7406 | avaliados=6025 | erros=0
[BACKTEST] 6050/7406 | avaliados=6050 | erros=0
[BACKTEST] 6075/7406 | avaliados=6075 | erros=0
[BACKTEST] 6100/7406 | avaliados=6100 | erros=0
[BACKTEST] 6125/7406 | avaliados=6125 | erros=0
[BACKTEST] 6150/7406 | avaliados=6150 | erros=0
[BACKTEST] 6175/7406 | avaliados=6175 | erros=0
[BACKTEST] 6200/7406 | avaliados=6200 | erros=0
[BACKTEST] 6225/7406 | avaliados=6225 | erros=0
[BACKTEST] 6250/7406 | avaliados=6250 | erros=0
[BACKTEST] 6275/7406 | avaliados=6275 | erros=0
[BACKTEST] 6300/7406 | avaliados=6300 | erros=0
[BACKTEST] 6325/7406 | avaliados=6325 | erros=0
[BACKTEST] 6350/7406 | avaliados=6350 | erros=0
[BACKTEST] 6375/7406 | avaliados=6375 | erros=0
[BACKTEST] 6400/7406 | avaliados=6400 | erros=0
[BACKTEST] 6425/7406 | avaliados=6425 | erros=0
[BACKTEST] 6450/7406 | avaliados=6450 | erros=0
[BACKTEST] 6475/7406 | avaliados=6475 | erros=0
[BACKTEST] 6500/7406 | avaliados=6500 | erros=0
[BACKTEST] 6525/7406 | avaliados=6525 | erros=0
[BACKTEST] 6550/7406 | avaliados=6550 | erros=0
[BACKTEST] 6575/7406 | avaliados=6575 | erros=0
[BACKTEST] 6600/7406 | avaliados=6600 | erros=0
[BACKTEST] 6625/7406 | avaliados=6625 | erros=0
[BACKTEST] 6650/7406 | avaliados=6650 | erros=0
[BACKTEST] 6675/7406 | avaliados=6675 | erros=0
[BACKTEST] 6700/7406 | avaliados=6700 | erros=0
[BACKTEST] 6725/7406 | avaliados=6725 | erros=0
[BACKTEST] 6750/7406 | avaliados=6750 | erros=0
[BACKTEST] 6775/7406 | avaliados=6775 | erros=0
[BACKTEST] 6800/7406 | avaliados=6800 | erros=0
[BACKTEST] 6825/7406 | avaliados=6825 | erros=0
[BACKTEST] 6850/7406 | avaliados=6850 | erros=0
[BACKTEST] 6875/7406 | avaliados=6875 | erros=0
[BACKTEST] 6900/7406 | avaliados=6900 | erros=0
[BACKTEST] 6925/7406 | avaliados=6925 | erros=0
[BACKTEST] 6950/7406 | avaliados=6950 | erros=0
[BACKTEST] 6975/7406 | avaliados=6975 | erros=0
[BACKTEST] 7000/7406 | avaliados=7000 | erros=0
[BACKTEST] 7025/7406 | avaliados=7025 | erros=0
[BACKTEST] 7050/7406 | avaliados=7050 | erros=0
[BACKTEST] 7075/7406 | avaliados=7075 | erros=0
[BACKTEST] 7100/7406 | avaliados=7100 | erros=0
[BACKTEST] 7125/7406 | avaliados=7125 | erros=0
[BACKTEST] 7150/7406 | avaliados=7150 | erros=0
[BACKTEST] 7175/7406 | avaliados=7175 | erros=0
[BACKTEST] 7200/7406 | avaliados=7200 | erros=0
[BACKTEST] 7225/7406 | avaliados=7225 | erros=0
[BACKTEST] 7250/7406 | avaliados=7250 | erros=0
[BACKTEST] 7275/7406 | avaliados=7275 | erros=0
[BACKTEST] 7300/7406 | avaliados=7300 | erros=0
[BACKTEST] 7325/7406 | avaliados=7325 | erros=0
[BACKTEST] 7350/7406 | avaliados=7350 | erros=0
[BACKTEST] 7375/7406 | avaliados=7375 | erros=0
[BACKTEST] 7400/7406 | avaliados=7400 | erros=0
[BACKTEST] 7406/7406 | avaliados=7406 | erros=0

[2/2] Executando E08...
[BACKTEST] 25/7406 | avaliados=25 | erros=0
[BACKTEST] 50/7406 | avaliados=50 | erros=0
[BACKTEST] 75/7406 | avaliados=75 | erros=0
[BACKTEST] 100/7406 | avaliados=100 | erros=0
[BACKTEST] 125/7406 | avaliados=125 | erros=0
[BACKTEST] 150/7406 | avaliados=150 | erros=0
[BACKTEST] 175/7406 | avaliados=175 | erros=0
[BACKTEST] 200/7406 | avaliados=200 | erros=0
[BACKTEST] 225/7406 | avaliados=225 | erros=0
[BACKTEST] 250/7406 | avaliados=250 | erros=0
[BACKTEST] 275/7406 | avaliados=275 | erros=0
[BACKTEST] 300/7406 | avaliados=300 | erros=0
[BACKTEST] 325/7406 | avaliados=325 | erros=0
[BACKTEST] 350/7406 | avaliados=350 | erros=0
[BACKTEST] 375/7406 | avaliados=375 | erros=0
[BACKTEST] 400/7406 | avaliados=400 | erros=0
[BACKTEST] 425/7406 | avaliados=425 | erros=0
[BACKTEST] 450/7406 | avaliados=450 | erros=0
[BACKTEST] 475/7406 | avaliados=475 | erros=0
[BACKTEST] 500/7406 | avaliados=500 | erros=0
[BACKTEST] 525/7406 | avaliados=525 | erros=0
[BACKTEST] 550/7406 | avaliados=550 | erros=0
[BACKTEST] 575/7406 | avaliados=575 | erros=0
[BACKTEST] 600/7406 | avaliados=600 | erros=0
[BACKTEST] 625/7406 | avaliados=625 | erros=0
[BACKTEST] 650/7406 | avaliados=650 | erros=0
[BACKTEST] 675/7406 | avaliados=675 | erros=0
[BACKTEST] 700/7406 | avaliados=700 | erros=0
[BACKTEST] 725/7406 | avaliados=725 | erros=0
[BACKTEST] 750/7406 | avaliados=750 | erros=0
[BACKTEST] 775/7406 | avaliados=775 | erros=0
[BACKTEST] 800/7406 | avaliados=800 | erros=0
[BACKTEST] 825/7406 | avaliados=825 | erros=0
[BACKTEST] 850/7406 | avaliados=850 | erros=0
[BACKTEST] 875/7406 | avaliados=875 | erros=0
[BACKTEST] 900/7406 | avaliados=900 | erros=0
[BACKTEST] 925/7406 | avaliados=925 | erros=0
[BACKTEST] 950/7406 | avaliados=950 | erros=0
[BACKTEST] 975/7406 | avaliados=975 | erros=0
[BACKTEST] 1000/7406 | avaliados=1000 | erros=0
[BACKTEST] 1025/7406 | avaliados=1025 | erros=0
[BACKTEST] 1050/7406 | avaliados=1050 | erros=0
[BACKTEST] 1075/7406 | avaliados=1075 | erros=0
[BACKTEST] 1100/7406 | avaliados=1100 | erros=0
[BACKTEST] 1125/7406 | avaliados=1125 | erros=0
[BACKTEST] 1150/7406 | avaliados=1150 | erros=0
[BACKTEST] 1175/7406 | avaliados=1175 | erros=0
[BACKTEST] 1200/7406 | avaliados=1200 | erros=0
[BACKTEST] 1225/7406 | avaliados=1225 | erros=0
[BACKTEST] 1250/7406 | avaliados=1250 | erros=0
[BACKTEST] 1275/7406 | avaliados=1275 | erros=0
[BACKTEST] 1300/7406 | avaliados=1300 | erros=0
[BACKTEST] 1325/7406 | avaliados=1325 | erros=0
[BACKTEST] 1350/7406 | avaliados=1350 | erros=0
[BACKTEST] 1375/7406 | avaliados=1375 | erros=0
[BACKTEST] 1400/7406 | avaliados=1400 | erros=0
[BACKTEST] 1425/7406 | avaliados=1425 | erros=0
[BACKTEST] 1450/7406 | avaliados=1450 | erros=0
[BACKTEST] 1475/7406 | avaliados=1475 | erros=0
[BACKTEST] 1500/7406 | avaliados=1500 | erros=0
[BACKTEST] 1525/7406 | avaliados=1525 | erros=0
[BACKTEST] 1550/7406 | avaliados=1550 | erros=0
[BACKTEST] 1575/7406 | avaliados=1575 | erros=0
[BACKTEST] 1600/7406 | avaliados=1600 | erros=0
[BACKTEST] 1625/7406 | avaliados=1625 | erros=0
[BACKTEST] 1650/7406 | avaliados=1650 | erros=0
[BACKTEST] 1675/7406 | avaliados=1675 | erros=0
[BACKTEST] 1700/7406 | avaliados=1700 | erros=0
[BACKTEST] 1725/7406 | avaliados=1725 | erros=0
[BACKTEST] 1750/7406 | avaliados=1750 | erros=0
[BACKTEST] 1775/7406 | avaliados=1775 | erros=0
[BACKTEST] 1800/7406 | avaliados=1800 | erros=0
[BACKTEST] 1825/7406 | avaliados=1825 | erros=0
[BACKTEST] 1850/7406 | avaliados=1850 | erros=0
[BACKTEST] 1875/7406 | avaliados=1875 | erros=0
[BACKTEST] 1900/7406 | avaliados=1900 | erros=0
[BACKTEST] 1925/7406 | avaliados=1925 | erros=0
[BACKTEST] 1950/7406 | avaliados=1950 | erros=0
[BACKTEST] 1975/7406 | avaliados=1975 | erros=0
[BACKTEST] 2000/7406 | avaliados=2000 | erros=0
[BACKTEST] 2025/7406 | avaliados=2025 | erros=0
[BACKTEST] 2050/7406 | avaliados=2050 | erros=0
[BACKTEST] 2075/7406 | avaliados=2075 | erros=0
[BACKTEST] 2100/7406 | avaliados=2100 | erros=0
[BACKTEST] 2125/7406 | avaliados=2125 | erros=0
[BACKTEST] 2150/7406 | avaliados=2150 | erros=0
[BACKTEST] 2175/7406 | avaliados=2175 | erros=0
[BACKTEST] 2200/7406 | avaliados=2200 | erros=0
[BACKTEST] 2225/7406 | avaliados=2225 | erros=0
[BACKTEST] 2250/7406 | avaliados=2250 | erros=0
[BACKTEST] 2275/7406 | avaliados=2275 | erros=0
[BACKTEST] 2300/7406 | avaliados=2300 | erros=0
[BACKTEST] 2325/7406 | avaliados=2325 | erros=0
[BACKTEST] 2350/7406 | avaliados=2350 | erros=0
[BACKTEST] 2375/7406 | avaliados=2375 | erros=0
[BACKTEST] 2400/7406 | avaliados=2400 | erros=0
[BACKTEST] 2425/7406 | avaliados=2425 | erros=0
[BACKTEST] 2450/7406 | avaliados=2450 | erros=0
[BACKTEST] 2475/7406 | avaliados=2475 | erros=0
[BACKTEST] 2500/7406 | avaliados=2500 | erros=0
[BACKTEST] 2525/7406 | avaliados=2525 | erros=0
[BACKTEST] 2550/7406 | avaliados=2550 | erros=0
[BACKTEST] 2575/7406 | avaliados=2575 | erros=0
[BACKTEST] 2600/7406 | avaliados=2600 | erros=0
[BACKTEST] 2625/7406 | avaliados=2625 | erros=0
[BACKTEST] 2650/7406 | avaliados=2650 | erros=0
[BACKTEST] 2675/7406 | avaliados=2675 | erros=0
[BACKTEST] 2700/7406 | avaliados=2700 | erros=0
[BACKTEST] 2725/7406 | avaliados=2725 | erros=0
[BACKTEST] 2750/7406 | avaliados=2750 | erros=0
[BACKTEST] 2775/7406 | avaliados=2775 | erros=0
[BACKTEST] 2800/7406 | avaliados=2800 | erros=0
[BACKTEST] 2825/7406 | avaliados=2825 | erros=0
[BACKTEST] 2850/7406 | avaliados=2850 | erros=0
[BACKTEST] 2875/7406 | avaliados=2875 | erros=0
[BACKTEST] 2900/7406 | avaliados=2900 | erros=0
[BACKTEST] 2925/7406 | avaliados=2925 | erros=0
[BACKTEST] 2950/7406 | avaliados=2950 | erros=0
[BACKTEST] 2975/7406 | avaliados=2975 | erros=0
[BACKTEST] 3000/7406 | avaliados=3000 | erros=0
[BACKTEST] 3025/7406 | avaliados=3025 | erros=0
[BACKTEST] 3050/7406 | avaliados=3050 | erros=0
[BACKTEST] 3075/7406 | avaliados=3075 | erros=0
[BACKTEST] 3100/7406 | avaliados=3100 | erros=0
[BACKTEST] 3125/7406 | avaliados=3125 | erros=0
[BACKTEST] 3150/7406 | avaliados=3150 | erros=0
[BACKTEST] 3175/7406 | avaliados=3175 | erros=0
[BACKTEST] 3200/7406 | avaliados=3200 | erros=0
[BACKTEST] 3225/7406 | avaliados=3225 | erros=0
[BACKTEST] 3250/7406 | avaliados=3250 | erros=0
[BACKTEST] 3275/7406 | avaliados=3275 | erros=0
[BACKTEST] 3300/7406 | avaliados=3300 | erros=0
[BACKTEST] 3325/7406 | avaliados=3325 | erros=0
[BACKTEST] 3350/7406 | avaliados=3350 | erros=0
[BACKTEST] 3375/7406 | avaliados=3375 | erros=0
[BACKTEST] 3400/7406 | avaliados=3400 | erros=0
[BACKTEST] 3425/7406 | avaliados=3425 | erros=0
[BACKTEST] 3450/7406 | avaliados=3450 | erros=0
[BACKTEST] 3475/7406 | avaliados=3475 | erros=0
[BACKTEST] 3500/7406 | avaliados=3500 | erros=0
[BACKTEST] 3525/7406 | avaliados=3525 | erros=0
[BACKTEST] 3550/7406 | avaliados=3550 | erros=0
[BACKTEST] 3575/7406 | avaliados=3575 | erros=0
[BACKTEST] 3600/7406 | avaliados=3600 | erros=0
[BACKTEST] 3625/7406 | avaliados=3625 | erros=0
[BACKTEST] 3650/7406 | avaliados=3650 | erros=0
[BACKTEST] 3675/7406 | avaliados=3675 | erros=0
[BACKTEST] 3700/7406 | avaliados=3700 | erros=0
[BACKTEST] 3725/7406 | avaliados=3725 | erros=0
[BACKTEST] 3750/7406 | avaliados=3750 | erros=0
[BACKTEST] 3775/7406 | avaliados=3775 | erros=0
[BACKTEST] 3800/7406 | avaliados=3800 | erros=0
[BACKTEST] 3825/7406 | avaliados=3825 | erros=0
[BACKTEST] 3850/7406 | avaliados=3850 | erros=0
[BACKTEST] 3875/7406 | avaliados=3875 | erros=0
[BACKTEST] 3900/7406 | avaliados=3900 | erros=0
[BACKTEST] 3925/7406 | avaliados=3925 | erros=0
[BACKTEST] 3950/7406 | avaliados=3950 | erros=0
[BACKTEST] 3975/7406 | avaliados=3975 | erros=0
[BACKTEST] 4000/7406 | avaliados=4000 | erros=0
[BACKTEST] 4025/7406 | avaliados=4025 | erros=0
[BACKTEST] 4050/7406 | avaliados=4050 | erros=0
[BACKTEST] 4075/7406 | avaliados=4075 | erros=0
[BACKTEST] 4100/7406 | avaliados=4100 | erros=0
[BACKTEST] 4125/7406 | avaliados=4125 | erros=0
